abandon|từ bỏ, bỏ rơi|desert, forsake, leave
umbrage|sự xúc phạm, bóng râm|offense, resentment, pique, shadow, shade
umpire|trọng tài|referee, judge, arbitrator, mediator
unabated|không giảm bớt|undiminished, unflagging, relentless, persistent
unadorned|không trang điểm, mộc mạc|plain, simple, unembellished, austere, raw
unaffected|tự nhiên, chân thật|genuine, sincere, natural, artless, untouched
unanimous|đồng lòng, nhất trí|united, agreeing, harmonious, consistent
unanticipated|không dự đoán trước|unexpected, unforeseen, sudden, surprise
unassuming|khiêm tốn, không phô trương|modest, humble, unpretentious, meek
unavoidable|không thể tránh khỏi|inevitable, inescapable, certain, fated
unaware|không nhận biết được|ignorant, oblivious, unconscious, unmindful
unbalanced|mất thăng bằng, loạn trí|unstable, eccentric, insane, crazy, deranged
unbearable|không thể chịu đựng được|intolerable, insufferable, unendurable, oppressive
unbecoming|không phù hợp, mất tư cách|inappropriate, unsuitable, unseemly, improper
unbiased|không thiên vị, khách quan|impartial, fair, neutral, objective, juste
unbounded|vô hạn, không biên giới|infinite, limitless, endless, boundless
unbridled|không kiềm chế, buông thả|uncontrolled, unrestrained, unchecked, wild
uncanny|kỳ lạ, phi thường|strange, weird, mysterious, eerie, supernatural
unceasing|không ngừng, liên tục|continuous, constant, endless, perpetual, incessant
unceremonious|thô lỗ, không nghi thức|abrupt, informal, rude, discourteous, blunt
uncertain|không chắc chắn|doubtful, unsure, ambiguous, vague, variable
uncharitable|khắt khe, không từ tâm|unkind, harsh, merciless, cruel, stingy
uncivil|thô lỗ, bất lịch sử|rude, impolite, discourteous, vulgar, boorish
unclean|bẩn thỉu, ô uế|dirty, soiled, foul, contaminated, impure
uncomfortable|khó chịu, bất tiện|uneasy, awkward, painful, distressing
uncommon|hiếm thấy, khác thường|rare, unusual, scarce, exceptional, unique
uncompromising|không thỏa hiệp, cứng rắn|inflexible, rigid, stubborn, unyielding, resolute
unconcerned|thờ ơ, vô tư|indifferent, apathetic, nonchalant, careless
unconditional|tuyệt đối, không điều kiện|absolute, total, utter, unrestricted
unconscious|vô thức, ngất đi|oblivious, unaware, insensible, faint
unconventional|độc đáo, lập dị|unorthodox, unusual, eccentric, bizarre, novel
uncouth|vụng về, thô lỗ|rude, boorish, clumsy, awkward, unrefined
unctuous|khéo mồm, dối trá|sycophantic, oily, fawning, hypocritical, smooth
undaunted|không nản lòng, dũng cảm|fearless, brave, courageous, intrepid, bold
undergo|trải qua, chịu đựng|experience, endure, suffer, sustain, bear
underhand|lén lút, gian lận|deceitful, crafty, secret, sly, dishonest
underline|nhấn mạnh|emphasize, stress, highlight, feature
undermine|làm suy yếu, đào ngầm|weaken, sabotage, subvert, sap, ruin
understand|hiểu rõ, am hiểu|comprehend, perceive, grasp, recognize, realize
understanding|sự am hiểu, thông cảm|comprehension, intellect, insight, sympathetic, wise
understate|nói bớt đi, coi nhẹ|downplay, minimize, underrate, belittle
undertake|đảm nhận, cam kết|engage, tackle, assume, guarantee, promise
undesirable|không mong muốn, đáng ghét|objectionable, offensive, unpleasant, unwelcome
undeviating|không lệch hướng, kiên định|steady, constant, resolute, unwavering
undisguised|lộ liễu, không che giấu|obvious, open, clear, patent, transparent
undone|chưa hoàn thành, bị phá sản|incomplete, unfinished, ruined, destroyed
undoubted|chắc chắn, không nghi ngờ|certain, sure, indisputable, clear, valid
undue|quá mức, phi lý|excessive, extreme, improper, inappropriate
undulate|gợn sóng, nhấp nhô|wave, ripple, vibrate, oscillate
undying|vĩnh cửu, bất tử|immortal, eternal, perpetual, endless, lasting
uneasiness|sự bồn chồn, lo lắng|anxiety, restlessness, nervousness, disquiet
uneasy|bồn chồn, không yên|anxious, restless, nervous, jittery, uncomfortable
uneducated|thiếu học, thất học|ignorant, illiterate, uncultured, untaught
unemployed|thất nghiệp|jobless, redundant, idle, unoccupied
unequal|không bình đẳng, khập khiễng|disproportionate, uneven, variable, inadequate
unequivocal|rõ ràng, dứt khoát|clear, plain, direct, explicit, unambiguous
unerring|chính xác, không bao giờ sai|flawless, perfect, accurate, exact, reliable
unessential|không quan trọng, thứ yếu|unimportant, minor, trivial, secondary, needless
uneven|gồ ghề, không đều|rough, bumpy, irregular, variable, lopsided
unexampled|chưa từng có|unprecedented, novel, unique, exceptional
unexpected|bất ngờ, thình lình|sudden, unanticipated, unforeseen, abrupt
unfair|bất công, thiên vị|unjust, biased, prejudiced, unequal, wrongful
unfaithful|phản bội, không chung thủy|disloyal, treacherous, perfidious, faithless
unfamiliar|xa lạ, chưa quen|unknown, strange, novel, alien, unusual
unfavorable|bất lợi, không tán thành|adverse, hostile, negative, disadvantageous
unfeasible|không khả thi|impossible, impracticable, unworkable
unfeigned|chân thật, không giả vờ|sincere, genuine, real, true, honest
unfettered|được giải thoát, tự do|free, liberated, loose, unchained
unfit|không thích hợp, yếu đuối|unsuitable, inappropriate, incapable, weak, unhealthy
unflagging|không biết mệt mỏi|tireless, untiring, indefatigable, persistent, steady
unflinching|kiên cường, không nao núng|resolute, firm, steadfast, brave, unwavering
unforeseen|không dự kiến trước|unexpected, unanticipated, sudden, abrupt
unforgettable|đáng nhớ, không thể quên|memorable, notable, haunting, lasting
unfortunate|đáng tiếc, rủi ro|unlucky, regrettable, sad, disastrous, calamitous
unfounded|vô căn cứ|groundless, baseless, unjustified, false
unfriendly|không thân thiện|hostile, aggressive, cold, aloof, antagonistic
ungainly|vụng về, thô kệch|clumsy, awkward, ungraceful, oafish
ungodly|vô đạo đức, tội lỗi|wicked, sinful, impious, irreligious, bad
ungracious|thô lỗ, không lịch sự|rude, impolite, discourteous, ungrateful
unhappy|buồn bã, xui xẻo|sad, miserable, sorrowful, gloomy, unlucky
unhealthy|ốm yếu, độc hại|sickly, frail, toxic, harmful, detrimental
unholy|vô đạo đức, kinh khủng|wicked, ungodly, sinful, impious, shocking
unhurt|không bị thương, nguyên vẹn|uninjured, safe, unharmed, intact, sound
unification|sự thống nhất, sáp nhập|union, integration, consolidation, merger
uniform|đồng đều, đồng phục|uniform, identical, consistent, regular, clothing
uniformity|sự đồng nhất, nhất quán|sameness, consistency, regularity, harmony
unify|thống nhất, hợp nhất|unite, integrate, combine, merge, blend
unimportant|không quan trọng|insignificant, minor, trivial, petty, negligible
uninformed|thiếu hiểu biết|ignorant, unaware, uneducated, uninstructed
uninhibited|phóng khoáng, tự nhiên|free, wild, spontaneous, unconstrained
unintelligible|khó hiểu, mập mờ|obscure, incomprehensible, cryptic, vague
unintentional|vô tình, không chủ tâm|accidental, inadvertent, unintended, involuntary
uninterested|thờ ơ, không quan tâm|apathetic, indifferent, unconcerned, bored
uninteresting|tẻ nhạt, chán ngắt|boring, dull, tedious, monotonous, bland
uninterrupted|liên tục, không gián đoạn|continuous, constant, endless, perpetual
union|liên minh, sự hợp nhất|alliance, association, coalition, merger, fusion
unique|duy nhất, độc nhất vô nhị|sole, single, matchless, peerless, distinctive
unison|sự hòa âm, đồng thuận|harmony, agreement, accord, unity
unite|kết hợp, sáp nhập|combine, join, link, merge, fuse
unity|sự nhất quán, đoàn kết|harmony, oneness, agreement, union, concord
universal|toàn cầu, phổ biến|general, global, widespread, generic, ubiquitous
unjust|bất công|unfair, biased, inequitable, wrongful
unjustifiable|không thể biện minh|indensible, wrong, unacceptable, groundless
unkind|tàn nhẫn, không tử tế|cruel, harsh, unsympathetic, mean, spiteful
unknown|vô danh, xa lạ|obscure, anonymous, unfamiliar, hidden
unlawful|bất hợp pháp|illegal, illicit, illegitimate, banned, prohibited
unlearned|thất học, bẩm sinh|ignorant, uneducated, innate, natural
unleash|buông lỏng, giải phóng|release, free, loose, vent, trigger
unlettered|mù chữ, thiếu học|illiterate, uneducated, ignorant
unlikely|ít có khả năng xảy ra|improbable, doubtful, implausible, dubious
unlimited|vô hạn|infinite, boundless, endless, limitless, vast
unload|dỡ hàng, trút bỏ|empty, unpack, discharge, dump, relieve
unmerciful|tàn nhẫn, không nhân từ|merciless, cruel, ruthless, pitiless, brutal
unmistakable|rõ ràng, không thể nhầm lẫn|obvious, clear, evident, plain, manifest
unmoved|thờ ơ, kiên định|indifferent, apathetic, cold, resolute, firm
unnatural|bất thường, quái dị|abnormal, artificial, bizarre, affected, strange
unnecessary|không cần thiết|needless, redundant, unessential, superfluous
unnerve|làm nản lòng, hoang mang|intimidate, daunt, frighten, upset, fluster
unobtrusive|kín đáo, không lộ liễu|discreet, inconspicuous, low-key, modest
unorthodox|độc đáo, dị giáo|unconventional, unusual, radical, eccentric
unpleasant|khó chịu, đáng ghét|disagreeable, offensive, nasty, unpleasant, foul
unprecedented|chưa từng có tiền lệ|unparalleled, novel, exceptional, unique
unpremeditated|tự phát, không chuẩn bị trước|spontaneous, impulsive, accidental, extempore
unpretentious|khiêm tốn, giản dị|modest, humble, simple, unassuming
unprincipled|vô đạo đức, gian trá|dishonest, unethical, immoral, corrupt, rogue
unproductive|không hiệu quả, cằn cỗi|infertile, barren, useless, futile, ineffective
unqualified|không đủ năng lực, hoàn toàn|incompetent, unfit, absolute, total, outright
unquenchable|không thể dập tắt/thỏa mãn|insatiable, endless, continuous, unextinguishable
unravel|làm sáng tỏ, gỡ rối|disentangle, untangle, solve, clarify, unfold
udder|bầu vú (động vật)|breast, mammary gland
ugliness|sự xấu xí|unsightliness, repulsion
ulcer|vết loét|sore, lesion, abscess
ulterior|kín đáo, ẩn ngầm|hidden, concealed, covert
ultimatum|tối hậu thư|demand, threat, final term
ultra|cực đoan, quá khích|extremist, radical
ultraviolet|tia cực tím|radiation, ray
umbilical|thuộc rốn|navel-related
umbrage|sự xúc phạm, ác cảm|resentment, offense, pique
umbrella|cái ô, sự che chở|parasol, shelter, protection
umpire|trọng tài|referee, arbiter, judge
unabashed|không nao núng, trơ trẽn|shameless, bold, confident
unable|không thể, kém cỏi|incapable, incompetent, weak
unaccountable|không thể giải thích được|inexplicable, strange, mysterious
unanimous|nhất trí|united, agreeing, collective
unassuming|khiêm tốn|modest, humble, unpretentious
unauthorized|không được phép|illegal, illicit, unofficial
unavailable|không có sẵn|inaccessible, free, busy
unaware|không biết, lơ đễnh|ignorant, oblivious, blind
unbearable|không thể chịu nổi|intolerable, insufferable, agonizing
unbeatable|không thể đánh bại|invincible, supreme, unmatched
unbecoming|không phù hợp|inappropriate, improper, unseemly
unbelief|sự không tin|disbelief, skepticism, doubt
unbiased|không thiên vị|impartial, fair, neutral
unbidden|không mời mà đến, tự phát|spontaneous, uninvited
unbroken|nguyên vẹn|intact, continuous, whole
unburden|trút bỏ gánh nặng|relieve, release, confess
uncalled-for|không cần thiết, vô lý|gratuitous, unnecessary, unjustified
uncanny|kỳ lạ, huyền bí|eerie, mysterious, strange
unceasing|không ngừng nghỉ|continuous, relentless, endless
uncertain|không chắc chắn|unsure, doubtful, variable
unchangeable|không thể thay đổi|permanent, immutable, fixed
uncivil|thô lỗ|rude, impolite, boorish
unclean|bẩn thỉu|dirty, filthy, foul
uncomfortable|không thoải mái|uneasy, awkward, distressing
uncommon|hiếm có|rare, unusual, scarce
uncompromising|không thỏa hiệp|inflexible, rigid, steadfast
unconcerned|thờ ơ|indifferent, apathetic, nonchalant
unconditional|không điều kiện|absolute, total, unlimited
unconscious|vô thức, bất tỉnh|insensible, unaware, faint
unconventional|phá cách, lập dị|unorthodox, unusual, original
uncouth|thô lỗ, vụng về|rude, awkward, boorish
uncover|phát hiện, tiết lộ|reveal, disclose, expose
unction|sự xức dầu, giọng điệu kiểu cách|anointment, oil, flattery
unctuous|khéo mồm, dối trá|oily, sycophantic, smooth
undecided|chưa quyết định|hesitant, wavering, irresolute
undeniable|không thể chối cãi|indisputable, unquestionable, evident
under|dưới|below, beneath, beneath
underclass|tầng lớp thấp kém|lower class, poor
underestimate|đánh giá thấp|underrate, undervalue
undergo|trải qua|experience, endure, bear
undergraduate|sinh viên đại học|student, college student
underground|bí mật, ngầm|secret, hidden, covert
undergrowth|bụi rậm|brush, shrubbery, thicket
underhand|lén lút|deceitful, clandestine, sly
underlay|lớp lót|lining, base, backing
underlie|nằm bên dưới, là nền tảng|support, form, base
underline|nhấn mạnh|emphasize, stress, highlight
underling|kẻ dưới quyền|subordinate, assistant, minion
undermine|làm suy yếu|sabotage, weaken, sap
underneath|phía dưới|below, beneath
underprivileged|thiếu thốn, nghèo khổ|needy, deprived, disadvantaged
underrate|đánh giá thấp|underestimate, undervalue
underscore|nhấn mạnh|emphasize, underline
undersea|dưới biển|submarine, underwater
understand|hiểu|comprehend, grasp, fathom
understanding|sự hiểu biết|comprehension, insight, sympathy
understate|nói giảm nói tránh|downplay, minimize
understudy|người đóng thế|substitute, double, replacement
undertake|đảm nhận|tackle, attempt, engage
undertaker|người làm nghề mai táng|mortician
undertone|ý nghĩa ngầm, sắc thái nhẹ|nuance, suggestion, whisper
underwater|dưới nước|submerged, undersea
